pharmacological_action_name	pharmacological_action_ui	name	ui	entry_term_name	entry_term_ui
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	Diflucan	T046644
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	Fluconazol Stada	T626038
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	Fluconazol AL	T626032
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	Fluconazol AbZ	T626030
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	FlucoLich	T626028
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	Flucobeta	T626026
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	Fluc Hexal	T626024
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	Béagyne	T626022
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	Zonal	T626060
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	Fluconazole	T046642
14-alpha Demethylase Inhibitors	D058888	Econazole	D004464	GynoPevaril	T013601
14-alpha Demethylase Inhibitors	D058888	Econazole	D004464	Gyno Pevaril	T013601
14-alpha Demethylase Inhibitors	D058888	Econazole	D004464	Gyno-Pevaril	T013601
14-alpha Demethylase Inhibitors	D058888	Econazole	D004464	Gyno Pevaryl	T013598
14-alpha Demethylase Inhibitors	D058888	Ketoconazole	D007654	R41,400	T022995
14-alpha Demethylase Inhibitors	D058888	Econazole	D004464	Gyno-Pevaryl	T013598
14-alpha Demethylase Inhibitors	D058888	Econazole	D004464	Nitrate, Econazole	T013599
14-alpha Demethylase Inhibitors	D058888	Econazole	D004464	Econazole Nitrate	T013599
14-alpha Demethylase Inhibitors	D058888	Econazole	D004464	Pevaryl	T013597
14-alpha Demethylase Inhibitors	D058888	Econazole	D004464	Gyno Pervaryl 150	T013600
14-alpha Demethylase Inhibitors	D058888	Econazole	D004464	Gyno-Pervaryl 150	T013600
14-alpha Demethylase Inhibitors	D058888	Econazole	D004464	Ekonazole	T013596
14-alpha Demethylase Inhibitors	D058888	Econazole	D004464	Econazole	T013595
14-alpha Demethylase Inhibitors	D058888	Clotrimazole	D003022	Clotrimazole	T008770
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	Fluconazol von ct	T626040
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	Fluconazol-Isis	T626042
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	Fluconazol Isis	T626042
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	Fluconazol-ratiopharm	T626044
14-alpha Demethylase Inhibitors	D058888	Ketoconazole	D007654	R41400	T022994
14-alpha Demethylase Inhibitors	D058888	Ketoconazole	D007654	R 41400	T022996
14-alpha Demethylase Inhibitors	D058888	Ketoconazole	D007654	R-41400	T022996
14-alpha Demethylase Inhibitors	D058888	Ketoconazole	D007654	Ketoconazole	T022993
14-alpha Demethylase Inhibitors	D058888	Itraconazole	D017964	Itraconazole	T053681
14-alpha Demethylase Inhibitors	D058888	Itraconazole	D017964	R-51211	T053682
14-alpha Demethylase Inhibitors	D058888	Itraconazole	D017964	R 51211	T053682
14-alpha Demethylase Inhibitors	D058888	Itraconazole	D017964	R51211	T053682
14-alpha Demethylase Inhibitors	D058888	Itraconazole	D017964	Sporanox	T053683
14-alpha Demethylase Inhibitors	D058888	Itraconazole	D017964	Orungal	T707728
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	Apo Fluconazole	T626020
14-alpha Demethylase Inhibitors	D058888	Clotrimazole	D003022	Klotrimazole	T008772
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	Apo-Fluconazole	T626020
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	UK49858	T046643
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	UK 49858	T046643
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	UK-49858	T046643
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	Solacap	T626058
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	Oxifungol	T626056
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	Neofomiral	T626054
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	Loitin	T626052
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	Lavisa	T626050
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	Fungata	T626048
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	Flunazul	T626046
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	Fluconazol ratiopharm	T626044
14-alpha Demethylase Inhibitors	D058888	Fluconazole	D015725	Triflucan	T626019
14-alpha Demethylase Inhibitors	D058888	Voriconazole	D065819	Voriconazole	T854580
14-alpha Demethylase Inhibitors	D058888	Ketoconazole	D007654	Nizoral	T022997
14-alpha Demethylase Inhibitors	D058888	Voriconazole	D065819	UK-109,496	T298954
14-alpha Demethylase Inhibitors	D058888	Clotrimazole	D003022	Canesten	T008773
14-alpha Demethylase Inhibitors	D058888	Clotrimazole	D003022	Kanesten	T008774
14-alpha Demethylase Inhibitors	D058888	Miconazole	D008825	Miconazole	T026404
14-alpha Demethylase Inhibitors	D058888	Miconazole	D008825	R-14,889	T026406
14-alpha Demethylase Inhibitors	D058888	Voriconazole	D065819	UK109,496	T298954
14-alpha Demethylase Inhibitors	D058888	Voriconazole	D065819	UK 109,496	T298952
14-alpha Demethylase Inhibitors	D058888	Voriconazole	D065819	UK109496	T298955
14-alpha Demethylase Inhibitors	D058888	Voriconazole	D065819	UK 109496	T298953
14-alpha Demethylase Inhibitors	D058888	Clotrimazole	D003022	Bay b 5097	T008769
14-alpha Demethylase Inhibitors	D058888	Voriconazole	D065819	Vfend	T498870
14-alpha Demethylase Inhibitors	D058888	Miconazole	D008825	R14,889	T026406
14-alpha Demethylase Inhibitors	D058888	Miconazole	D008825	Miconazole Nitrate	T026407
14-alpha Demethylase Inhibitors	D058888	Miconazole	D008825	Nitrate, Miconazole	T026407
14-alpha Demethylase Inhibitors	D058888	Miconazole	D008825	Miconasil Nitrate	T026405
14-alpha Demethylase Inhibitors	D058888	Miconazole	D008825	Nitrate, Miconasil	T026405
14-alpha Demethylase Inhibitors	D058888	Miconazole	D008825	Monistat	T768725
14-alpha Demethylase Inhibitors	D058888	Miconazole	D008825	Brentan	T026402
14-alpha Demethylase Inhibitors	D058888	Miconazole	D008825	Dactarin	T026403
14-alpha Demethylase Inhibitors	D058888	Miconazole	D008825	R 14,889	T026406
14-alpha Demethylase Inhibitors	D058888	Clotrimazole	D003022	Lotrimin	T008775
14-alpha Demethylase Inhibitors	D058888	Voriconazole	D065819	UK-109496	T298955
14-alpha Demethylase Inhibitors	D058888	Clotrimazole	D003022	FB b 5097	T008771
14-alpha Demethylase Inhibitors	D058888	Clotrimazole	D003022	Mycelex	T008776
5-alpha Reductase Inhibitors	D058891	Dutasteride	D000068538	17beta-N-(2,5-bis(trifluoromethyl))phenyl-carbamoyl-4-aza-5alpha-androst-1-en-3-one	T311573
5-alpha Reductase Inhibitors	D058891	Dutasteride	D000068538	GI198745	T462227
5-alpha Reductase Inhibitors	D058891	Dutasteride	D000068538	Avodart	T623947
5-alpha Reductase Inhibitors	D058891	Finasteride	D018120	Eucoprost	T625340
5-alpha Reductase Inhibitors	D058891	Dutasteride	D000068538	GG745	T311575
5-alpha Reductase Inhibitors	D058891	Finasteride	D018120	Proscar	T054223
5-alpha Reductase Inhibitors	D058891	Finasteride	D018120	MK906	T054222
5-alpha Reductase Inhibitors	D058891	Finasteride	D018120	MK-906	T054222
5-alpha Reductase Inhibitors	D058891	Finasteride	D018120	Propeshia	T625333
5-alpha Reductase Inhibitors	D058891	Finasteride	D018120	Propecia	T625332
5-alpha Reductase Inhibitors	D058891	Finasteride	D018120	Chibro Proscar	T625338
5-alpha Reductase Inhibitors	D058891	Finasteride	D018120	Chibro-Proscar	T625338
5-alpha Reductase Inhibitors	D058891	Finasteride	D018120	Finasteride	T054221
5-alpha Reductase Inhibitors	D058891	Finasteride	D018120	MK 906	T054222
5-alpha Reductase Inhibitors	D058891	Dutasteride	D000068538	Dutasteride	T000876188
5-alpha Reductase Inhibitors	D058891	Dutasteride	D000068538	GG 745	T311577
5-alpha Reductase Inhibitors	D058891	Dutasteride	D000068538	745, GG	T311577
5-alpha Reductase Inhibitors	D058891	Dutasteride	D000068538	GG-745	T311574
Abortifacient Agents, Nonsteroidal	D000020	Dinoprost	D015237	Prostaglandin F2	T044594
Abortifacient Agents, Nonsteroidal	D000020	Methotrexate	D008727	Methotrexate, Disodium Salt	T360334
Abortifacient Agents, Nonsteroidal	D000020	Methotrexate	D008727	Methotrexate Hydrate	T360329
Abortifacient Agents, Nonsteroidal	D000020	Methotrexate	D008727	Hydrate, Methotrexate	T360329
Abortifacient Agents, Nonsteroidal	D000020	Methotrexate	D008727	Methotrexate, Dicesium Salt	T360335
Abortifacient Agents, Nonsteroidal	D000020	Trichosanthin	D015978	GLQ223	T047396
Abortifacient Agents, Nonsteroidal	D000020	Trichosanthin	D015978	GLQ 223	T047399
Abortifacient Agents, Nonsteroidal	D000020	Trichosanthin	D015978	GLQ-223	T047399
Abortifacient Agents, Nonsteroidal	D000020	Trichosanthin	D015978	T'ien-hua-fen	T047400
Abortifacient Agents, Nonsteroidal	D000020	Trichosanthin	D015978	Tian-hua-fen	T047397
Abortifacient Agents, Nonsteroidal	D000020	Trichosanthin	D015978	Compound Q	T047395
Abortifacient Agents, Nonsteroidal	D000020	Trichosanthin	D015978	alpha Trichosanthin	T047394
Abortifacient Agents, Nonsteroidal	D000020	Trichosanthin	D015978	alpha-Trichosanthin	T047394
Abortifacient Agents, Nonsteroidal	D000020	Trichosanthin	D015978	Trichosanthin	T047398
Abortifacient Agents, Nonsteroidal	D000020	Dinoprost	D015237	Dinoprost	T044593
Abortifacient Agents, Nonsteroidal	D000020	Carboprost	D002260	Carboprost	T006493
Abortifacient Agents, Nonsteroidal	D000020	Carboprost	D002260	15-Methylprostaglandin F2alpha	T006492
Abortifacient Agents, Nonsteroidal	D000020	Carboprost	D002260	15 Methylprostaglandin F2alpha	T006492
Abortifacient Agents, Nonsteroidal	D000020	Methotrexate	D008727	Methotrexate, Sodium Salt	T360330
Abortifacient Agents, Nonsteroidal	D000020	Carboprost	D002260	15(S)-15-Methyl PGF2alpha	T006491
Abortifacient Agents, Nonsteroidal	D000020	Dinoprost	D015237	PGF2	T044599
Abortifacient Agents, Nonsteroidal	D000020	Dinoprost	D015237	Prostaglandin F2alpha	T044595
Abortifacient Agents, Nonsteroidal	D000020	Dinoprost	D015237	F2alpha, Prostaglandin	T044595
Abortifacient Agents, Nonsteroidal	D000020	Dinoprost	D015237	PGF2alpha	T044600
Abortifacient Agents, Nonsteroidal	D000020	Dinoprost	D015237	Prostaglandin F2 alpha	T044597
Abortifacient Agents, Nonsteroidal	D000020	Methotrexate	D008727	Sodium, Methotrexate	T839566
Abortifacient Agents, Nonsteroidal	D000020	Methotrexate	D008727	Dicesium Salt Methotrexate	T360335
Abortifacient Agents, Nonsteroidal	D000020	Methotrexate	D008727	Mexate	T025978
Abortifacient Agents, Nonsteroidal	D000020	Dinoprost	D015237	alpha, PGF2	T044598
Abortifacient Agents, Nonsteroidal	D000020	Methotrexate	D008727	Methotrexate Sodium	T839566
Abortifacient Agents, Nonsteroidal	D000020	Dinoprost	D015237	Enzaprost F	T044601
Abortifacient Agents, Nonsteroidal	D000020	Misoprostol	D016595	Cytotec	T049703
Abortifacient Agents, Nonsteroidal	D000020	Misoprostol	D016595	Misoprostol, (11beta,13E,16S)-Isomer	T359663
Abortifacient Agents, Nonsteroidal	D000020	Misoprostol	D016595	Misoprostol, (11beta,13E)-(+-)-Isomer	T359659
Abortifacient Agents, Nonsteroidal	D000020	Misoprostol	D016595	Misoprostol, (11alpha.13E,16S)-Isomer	T359662
Abortifacient Agents, Nonsteroidal	D000020	Misoprostol	D016595	Misoprostol, (11alpha,13Z)-(+-)-Isomer	T359660
Abortifacient Agents, Nonsteroidal	D000020	Misoprostol	D016595	Misoprostol, (11alpha,13E,16R)-Isomer	T359661
Abortifacient Agents, Nonsteroidal	D000020	Misoprostol	D016595	Misoprostol, (11alpha,13E)-Isomer	T359665
Abortifacient Agents, Nonsteroidal	D000020	Dinoprost	D015237	PGF2 alpha	T044598
Abortifacient Agents, Nonsteroidal	D000020	Misoprostol	D016595	Misoprostol	T049700
