name	ui	pharmacological_action_name	pharmacological_action_ui
Calcimycin	D000001	Anti-Bacterial Agents	D000900
Calcimycin	D000001	Calcium Ionophores	D061207
Temefos	D000002	Insecticides	D007306
Abscisic Acid	D000040	Plant Growth Regulators	D010937
Aripiprazole	D000068180	Antipsychotic Agents	D014150
Albumin-Bound Paclitaxel	D000068196	Antineoplastic Agents	D000970
Lubiprostone	D000068238	Chloride Channel Agonists	D065101
Darbepoetin alfa	D000068256	Hematinics	D006397
Efavirenz, Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination	D000068257	Reverse Transcriptase Inhibitors	D018894
Efavirenz, Emtricitabine, Tenofovir Disoproxil Fumarate Drug Combination	D000068257	Anti-HIV Agents	D019380
Bevacizumab	D000068258	Antineoplastic Agents, Immunological	D000074322
Bevacizumab	D000068258	Angiogenesis Inhibitors	D020533
Risedronate Sodium	D000068296	Calcium Channel Blockers	D002121
Risedronate Sodium	D000068296	Bone Density Conservation Agents	D050071
Fluticasone-Salmeterol Drug Combination	D000068297	Bronchodilator Agents	D001993
Fluticasone-Salmeterol Drug Combination	D000068297	Glucocorticoids	D005938
Fluticasone-Salmeterol Drug Combination	D000068297	Sympathomimetics	D013566
Fluticasone	D000068298	Anti-Inflammatory Agents	D000893
Fluticasone	D000068298	Bronchodilator Agents	D001993
Fluticasone	D000068298	Dermatologic Agents	D003879
Fluticasone	D000068298	Anti-Allergic Agents	D018926
Salmeterol Xinafoate	D000068299	Bronchodilator Agents	D001993
Salmeterol Xinafoate	D000068299	Adrenergic beta-2 Receptor Agonists	D058666
Everolimus	D000068338	Antineoplastic Agents	D000970
Everolimus	D000068338	Immunosuppressive Agents	D007166
Aspirin, Dipyridamole Drug Combination	D000068342	Platelet Aggregation Inhibitors	D010975
Pemetrexed	D000068437	Antineoplastic Agents	D000970
Pemetrexed	D000068437	Enzyme Inhibitors	D004791
Pemetrexed	D000068437	Folic Acid Antagonists	D005493
Pemetrexed	D000068437	Nucleic Acid Synthesis Inhibitors	D019384
Brimonidine Tartrate	D000068438	Antihypertensive Agents	D000959
Brimonidine Tartrate	D000068438	Adrenergic alpha-2 Receptor Agonists	D058647
Dutasteride	D000068538	5-alpha Reductase Inhibitors	D058891
Interferon beta-1a	D000068556	Adjuvants, Immunologic	D000276
Interferon beta-1a	D000068556	Antineoplastic Agents	D000970
Interferon beta-1a	D000068556	Antiviral Agents	D000998
Olmesartan Medoxomil	D000068557	Antihypertensive Agents	D000959
Olmesartan Medoxomil	D000068557	Angiotensin II Type 1 Receptor Blockers	D047228
Amlodipine Besylate, Olmesartan Medoxomil Drug Combination	D000068558	Antihypertensive Agents	D000959
Amlodipine Besylate, Olmesartan Medoxomil Drug Combination	D000068558	Calcium Channel Blockers	D002121
Amlodipine Besylate, Olmesartan Medoxomil Drug Combination	D000068558	Angiotensin II Type 1 Receptor Blockers	D047228
Interferon beta-1b	D000068576	Adjuvants, Immunologic	D000276
Nebivolol	D000068577	Antihypertensive Agents	D000959
Nebivolol	D000068577	Vasodilator Agents	D014665
Nebivolol	D000068577	Adrenergic beta-1 Receptor Agonists	D058665
Celecoxib	D000068579	Cyclooxygenase 2 Inhibitors	D052246
Varenicline	D000068580	Nicotinic Agonists	D018722
Tadalafil	D000068581	Vasodilator Agents	D014665
Tadalafil	D000068581	Phosphodiesterase 5 Inhibitors	D058986
Tadalafil	D000068581	Urological Agents	D064804
Certolizumab Pegol	D000068582	Immunosuppressive Agents	D007166
Certolizumab Pegol	D000068582	Antirheumatic Agents	D018501
Brimonidine Tartrate, Timolol Maleate Drug Combination	D000068599	Adrenergic beta-Antagonists	D000319
Brimonidine Tartrate, Timolol Maleate Drug Combination	D000068599	Adrenergic alpha-2 Receptor Agonists	D058647
Mometasone Furoate	D000068656	Anti-Inflammatory Agents	D000893
Mometasone Furoate	D000068656	Dermatologic Agents	D003879
Mometasone Furoate	D000068656	Anti-Allergic Agents	D018926
Sildenafil Citrate	D000068677	Vasodilator Agents	D014665
Sildenafil Citrate	D000068677	Phosphodiesterase 5 Inhibitors	D058986
Sildenafil Citrate	D000068677	Urological Agents	D064804
Emtricitabine, Rilpivirine, Tenofovir Drug Combination	D000068678	Antiviral Agents	D000998
Emtricitabine, Rilpivirine, Tenofovir Drug Combination	D000068678	Reverse Transcriptase Inhibitors	D018894
Emtricitabine, Rilpivirine, Tenofovir Drug Combination	D000068678	Anti-HIV Agents	D019380
